PID,Date,Group,Group2,Name,Species,Populations,SID,reproduction,TYPE,Unit ,u_mean,u_lower,u_upper,SE,range_low,range_up,Events,Callable,Method,SampleSize,Generations,Sequencing,Tools,Depth,Comments,CITATION,Citation2,Link
2010003,2010,unicellular,fungi,yeast,Saccharomyces cerevisiae,,2010003_1,sexual,snp,bp/generation,2.9e-10,1.4e-10,4.5e-10,,,,29,,MA,20,1740,Illumina,,,,"Nishant, K. T., Wei, W., Mancera, E., Argueso, J. L., Schlattl, A., Delhomme, N., ... & Alani, E. (2010). The baker's yeast diploid genome is remarkably stable in vegetative growth and meiosis. PLoS genetics, 6(9), e1001109.","Zhu, Y. O., Siegal, M. L., Hall, D. W., & Petrov, D. A. (2014). Precise estimates of mutation rate and spectrum in yeast. Proceedings of the National Academy of Sciences, 111(22), E2310-E2318.",https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1001109
2010004,2010,human,primates,human,Homo sapiens,,2010004_1,sexual,snp,bp/generation,1.1e-8,6.8e-9,1.7e-8,,,,,,PO,,,,,40,,"Roach, J. C., Glusman, G., Smit, A. F., Huff, C. D., Hubley, R., Shannon, P. T., ... & Galas, D. J. (2010). Analysis of genetic inheritance in a family quartet by whole-genome sequencing. Science, 328(5978), 636-639.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3037280/
2010005,2010,human,primates,human,Homo sapiens,CEU,2010005_1,sexual,snp,bp/generation,1.2e-8,,,,,,49,,PO,,,Illumina,,,,"1000 Genomes Project Consortium, (2010). A map of human genome variation from population scale sequencing. Nature, 467(7319), 1061.",,https://www.nature.com/articles/nature09534
2010005,2010,human,primates,human,Homo sapiens,YRI,2010005_2,sexual,snp,bp/generation,1.0e-8,,,,,,35,,PO,,,Illumina,,,,"1000 Genomes Project Consortium, (2010). A map of human genome variation from population scale sequencing. Nature, 467(7319), 1061.",,https://www.nature.com/articles/nature09534
2011001,2011,human,primates,human,Homo sapiens,,2011001_1,sexual,snp,bp/generation,2.59e-8,1.45e-8,4.27e-8,,,,15,,PO,14,,Illumina,,,exome-schizophrenia,"Girard, S. L., Gauthier, J., Noreau, A., Xiong, L., Zhou, S., Jouan, L., ... & Rouleau, G. A. (2011). Increased exonic de novo mutation rate in individuals with schizophrenia. Nature genetics, 43(9), 860-863.",,https://www.nature.com/articles/ng.886
2012001,2012,human,primates,human,Homo sapiens,CEU,2012001_1,sexual,snp,bp/generation,1.17e-8,0.88e-8,1.62e-8,,,,49,,PO,1,,Illumina,,>22,,"Conrad, D. F., Keebler, J. E., a Depristo, M., Lindsay, S. J., Cassals, F., Idaghdour, Y., ... & Kiran, V. (2012). Europe PMC Funders Group Variation in Genome-Wide Mutation Rates within and between Human Families.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3322360/
2012001,2012,human,primates,human,Homo sapiens,YRI,2012001_2,sexual,snp,bp/generation,0.97e-8,0.67e-8,1.34e-8,,,,35,,PO,1,,Illumina,,>22,,"Conrad, D. F., Keebler, J. E., a Depristo, M., Lindsay, S. J., Cassals, F., Idaghdour, Y., ... & Kiran, V. (2012). Europe PMC Funders Group Variation in Genome-Wide Mutation Rates within and between Human Families.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3322360/
2012002,2012,unicellular,others,algae,Chlamydomonas reinhardtii,"Quebec, Canada",2012002_1,asexual,snp,bp/generation,2.08e-10,1.00e-10,3.74e-10,,,,,,MA,2,350,,,,,"Ness, R. W., Morgan, A. D., Colegrave, N., & Keightley, P. D. (2012). Estimate of the spontaneous mutation rate in Chlamydomonas reinhardtii. Genetics, 192(4), 1447-1454.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3512149/
2012002,2012,unicellular,others,algae,Chlamydomonas reinhardtii,"Quebec, Canada",2012002_1,asexual,indel,bp/generation,11.54e-11,,,,,,5,,MA,2,350,,,,,"Ness, R. W., Morgan, A. D., Colegrave, N., & Keightley, P. D. (2012). Estimate of the spontaneous mutation rate in Chlamydomonas reinhardtii. Genetics, 192(4), 1447-1454.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3512149/
2012002,2012,unicellular,others,algae,Chlamydomonas reinhardtii,"Quebec, Canada",2012002_1,asexual,deletion,bp/generation,9.23e-11,3.59e-11,2.37e-10,,,,4,,MA,2,350,,,,,"Ness, R. W., Morgan, A. D., Colegrave, N., & Keightley, P. D. (2012). Estimate of the spontaneous mutation rate in Chlamydomonas reinhardtii. Genetics, 192(4), 1447-1454.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3512149/
2012002,2012,unicellular,others,algae,Chlamydomonas reinhardtii,"Quebec, Canada",2012002_1,asexual,insertion,bp/generation,2.31e-11,1.18e-12,1.31e-10,,,,1,,MA,2,350,,,,,"Ness, R. W., Morgan, A. D., Colegrave, N., & Keightley, P. D. (2012). Estimate of the spontaneous mutation rate in Chlamydomonas reinhardtii. Genetics, 192(4), 1447-1454.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3512149/
2012003,2012,unicellular,others,algae,Chlamydomonas reinhardtii,,2012003_1,asexual,snp,bp/generation,6.76e-11,,,1.08e-11,,,,,MA,4,,,,,,"Sung, W., Ackerman, M. S., Miller, S. F., Doak, T. G., & Lynch, M. (2012). Drift-barrier hypothesis and mutation-rate evolution. Proceedings of the National Academy of Sciences, 109(45), 18488-18492.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3494944/
2012004,2012,unicellular,others,ciliates ,Paramecium tetraurelia,,2012004_1,mixed,snp,bp/generation,1.94e-11,,,0.36e-11,,,29,,MA,7,,,,,,"Sung, W., Tucker, A. E., Doak, T. G., Choi, E., Thomas, W. K., & Lynch, M. (2012). Extraordinary genome stability in the ciliate Paramecium tetraurelia. Proceedings of the National Academy of Sciences, 109(47), 19339-19344.","Supplemental Material for Sandler et al., 2020",https://www.pnas.org/doi/10.1073/pnas.1210663109
2012005,2012,human,primates,human,Homo sapiens,"Hutterites, South Dakota",2012005_1,sexual,snp,bp/generation,1.20e-8,0.89e-8,1.43e-8,,,,,,PO,5,,llumina HiSeq 2000,GATK,10–17,,"Campbell, C. D., Chong, J. X., Malig, M., Ko, A., Dumont, B. L., Han, L., ... & Eichler, E. E. (2012). Estimating the human mutation rate using autozygosity in a founder population. Nature genetics, 44(11), 1277-1281.",,https://www.nature.com/articles/ng.2418
2012006,2012,human,primates,human,Homo sapiens,Icelandic,2012006_1,sexual,snp,bp/generation,1.20e-8,1.17e-8,1.23e-8,,,,4933,,PO,78,,Illumina HiSeq 2000,,30,,"Kong, A., Frigge, M. L., Masson, G., Besenbacher, S., Sulem, P., Magnusson, G., ... & Stefansson, K. (2012). Rate of de novo mutations and the importance of father’s age to disease risk. Nature, 488(7412), 471-475.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3548427/
2012007,2012,human,primates,human,Homo sapiens,,2012007_1,sexual,snp,bp/generation,1.00e-8,9.22e-9,1.08e-8,,,,581,,PO,,,Illumina HiSeq,,40,,"Michaelson, J. J., Shi, Y., Gujral, M., Zheng, H., Malhotra, D., Jin, X., ... & Sebat, J. (2012). Whole-genome sequencing in autism identifies hot spots for de novo germline mutation. Cell, 151(7), 1431-1442.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3712641/
2012008,2012,unicellular,others,amoeba,Dictyostelium discoideum,,2012008_1,asexual,snp,bp/generation,2.89e-11,7.4e-13,1.6e-10,,,,,,MA,3,,,,9-11,,"Saxer, G., Havlak, P., Fox, S. A., Quance, M. A., Gupta, S., Fofanov, Y., ... & Queller, D. C. (2012). Whole genome sequencing of mutation accumulation lines reveals a low mutation rate in the social amoeba Dictyostelium discoideum.",,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0046759
2012009,2012,human,primates,human,Homo sapiens,Icelanders,2012009_1,sexual,snp,bp/generation,1.82e-8,1.40e-8,2.28e-8,,,,,,PO,,,,,,,"Sun, J. X., Helgason, A., Masson, G., Ebenesersdóttir, S. S., Li, H., Mallick, S., ... & Stefansson, K. (2012). A direct characterization of human mutation based on microsatellites. Nature genetics, 44(10), 1161-1165.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3459271/
2012010,2012,human,primates,human,Homo sapiens,,2012010_1,sexual,snp,bp/generation,1.94e-8,1.68e-8,2.21e-8,,,,225,,PO,189,,HiSeq2000,,,,"O’Roak, B. J., Vives, L., Girirajan, S., Karakoc, E., Krumm, N., Coe, B. P., ... & Eichler, E. E. (2012). Sporadic autism exomes reveal a highly interconnected protein network of de novo mutations. Nature, 485(7397), 246-250.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3350576/
2012010,2012,human,primates,human,Homo sapiens,,2012010_1,sexual,indel,bp/generation,1.53e-9,9.52e-10,2.44e-9,,,,17,,PO,189,,HiSeq2000,,,,"O’Roak, B. J., Vives, L., Girirajan, S., Karakoc, E., Krumm, N., Coe, B. P., ... & Eichler, E. E. (2012). Sporadic autism exomes reveal a highly interconnected protein network of de novo mutations. Nature, 485(7397), 246-250.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3350576/
2012010,2012,human,primates,human,Homo sapiens,,2012010_1,sexual,deletion,bp/generation,1.35e-9,,,,,,15,,PO,189,,HiSeq2000,,,,"O’Roak, B. J., Vives, L., Girirajan, S., Karakoc, E., Krumm, N., Coe, B. P., ... & Eichler, E. E. (2012). Sporadic autism exomes reveal a highly interconnected protein network of de novo mutations. Nature, 485(7397), 246-250.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3350576/
2012010,2012,human,primates,human,Homo sapiens,,2012010_1,sexual,insertion,bp/generation,0.18e-9,,,,,,2,,PO,189,,HiSeq2000,,,,"O’Roak, B. J., Vives, L., Girirajan, S., Karakoc, E., Krumm, N., Coe, B. P., ... & Eichler, E. E. (2012). Sporadic autism exomes reveal a highly interconnected protein network of de novo mutations. Nature, 485(7397), 246-250.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3350576/
2012011,2012,human,primates,human,Homo sapiens,,2012011_1,sexual,snp,bp/generation,1.58e-8,1.35e-8,1.85e-8,,,,154,,PO,,,,,,exome-autism ,"Sanders, S. J., Murtha, M. T., Gupta, A. R., Murdoch, J. D., Raubeson, M. J., Willsey, A. J., ... & State, M. W. (2012). De novo mutations revealed by whole-exome sequencing are strongly associated with autism. Nature, 485(7397), 237-241.",,https://www.nature.com/articles/nature10945
2012011,2012,human,primates,human,Homo sapiens,,2012011_2,sexual,snp,bp/generation,1.31e-8,,,,,,125,,PO,,,,,,exome-sibling,"Sanders, S. J., Murtha, M. T., Gupta, A. R., Murdoch, J. D., Raubeson, M. J., Willsey, A. J., ... & State, M. W. (2012). De novo mutations revealed by whole-exome sequencing are strongly associated with autism. Nature, 485(7397), 237-241.",,https://www.nature.com/articles/nature10945
2012012,2012,human,primates,human,Homo sapiens,,2012012_1,sexual,snp,bp/generation,2.0e-8,,,0.1e-8,,,452,,PO,357,,Illumina HiSeq 2000,,,,"Iossifov, I., Ronemus, M., Levy, D., Wang, Z., Hakker, I., Rosenbaum, J., ... & Wigler, M. (2012). De novo gene disruptions in children on the autistic spectrum. Neuron, 74(2), 285-299.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3619976/
2012012,2012,human,primates,human,Homo sapiens,,2012012_1,sexual,indel,bp/generation,3.81e-9,3.08e-9,4.70e-9,,,,86,,PO,357,,Illumina HiSeq 2000,,,,"Iossifov, I., Ronemus, M., Levy, D., Wang, Z., Hakker, I., Rosenbaum, J., ... & Wigler, M. (2012). De novo gene disruptions in children on the autistic spectrum. Neuron, 74(2), 285-299.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3619976/
2012012,2012,human,primates,human,Homo sapiens,,2012012_1,sexual,deletion,bp/generation,2.84e-9,,,,,,64,,PO,357,,Illumina HiSeq 2000,,,,"Iossifov, I., Ronemus, M., Levy, D., Wang, Z., Hakker, I., Rosenbaum, J., ... & Wigler, M. (2012). De novo gene disruptions in children on the autistic spectrum. Neuron, 74(2), 285-299.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3619976/
2012012,2012,human,primates,human,Homo sapiens,,2012012_1,sexual,insertion,bp/generation,9.75e-10,,,,,,22,,PO,357,,Illumina HiSeq 2000,,,,"Iossifov, I., Ronemus, M., Levy, D., Wang, Z., Hakker, I., Rosenbaum, J., ... & Wigler, M. (2012). De novo gene disruptions in children on the autistic spectrum. Neuron, 74(2), 285-299.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3619976/
2012013,2012,human,primates,human,Homo sapiens,,2012013_1,sexual,snp,bp/generation,1.5e-8,,,,,,162,,PO,175,,IlluminaHiSeq2000,,,exome ,"Neale, B. M., Kou, Y., Liu, L., Ma’Ayan, A., Samocha, K. E., Sabo, A., ... & Daly, M. J. (2012). Patterns and rates of exonic de novo mutations in autism spectrum disorders. Nature, 485(7397), 242-245.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3613847/
2012013,2012,human,primates,human,Homo sapiens,,2012013_1,sexual,indel,bp/generation,1.28e-9,,,,,,14,,PO,175,,IlluminaHiSeq2000,,,exome ,"Neale, B. M., Kou, Y., Liu, L., Ma’Ayan, A., Samocha, K. E., Sabo, A., ... & Daly, M. J. (2012). Patterns and rates of exonic de novo mutations in autism spectrum disorders. Nature, 485(7397), 242-245.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3613847/
2012013,2012,human,primates,human,Homo sapiens,,2012013_1,sexual,deletion,bp/generation,1.10e-9,,,,,,12,,PO,175,,IlluminaHiSeq2000,,,exome ,"Neale, B. M., Kou, Y., Liu, L., Ma’Ayan, A., Samocha, K. E., Sabo, A., ... & Daly, M. J. (2012). Patterns and rates of exonic de novo mutations in autism spectrum disorders. Nature, 485(7397), 242-245.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3613847/
2012013,2012,human,primates,human,Homo sapiens,,2012013_1,sexual,insertion,bp/generation,0.18e-9,,,,,,2,,PO,175,,IlluminaHiSeq2000,,,exome ,"Neale, B. M., Kou, Y., Liu, L., Ma’Ayan, A., Samocha, K. E., Sabo, A., ... & Daly, M. J. (2012). Patterns and rates of exonic de novo mutations in autism spectrum disorders. Nature, 485(7397), 242-245.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3613847/
2012014,2012,worm,nematodes,nematode ,Caenorhabditis briggsae ,,2012014_1,sexual,snp,bp/generation,1.43e-9,1.25e-9,1.62e-9,,,,241,,MA,25,250,Illumina,,,,"Denver, D. R., Wilhelm, L. J., Howe, D. K., Gafner, K., Dolan, P. C., & Baer, C. F. (2012). Variation in base-substitution mutation in experimental and natural lineages of Caenorhabditis nematodes. Genome Biology and Evolution, 4(4), 513-522.",,https://academic.oup.com/gbe/article/4/4/513/551483
2012014,2012,worm,nematodes,nematode ,Caenorhabditis elegans,,2012014_2,sexual,snp,bp/generation,1.89e-9,1.68e-9,2.14e-9,,,,207,,MA,25,250,Illumina,,,,"Denver, D. R., Wilhelm, L. J., Howe, D. K., Gafner, K., Dolan, P. C., & Baer, C. F. (2012). Variation in base-substitution mutation in experimental and natural lineages of Caenorhabditis nematodes. Genome Biology and Evolution, 4(4), 513-522.",,https://academic.oup.com/gbe/article/4/4/513/551483
2012015,2012,human,primates,human,Homo sapiens,,2012015_8,sexual,snp,bp/generation,2.79e-8,,,,,,252,9021539000,PO,7,,,,,sperm,"Wang, J., Fan, H. C., Behr, B., & Quake, S. R. (2012). Genome-wide single-cell analysis of recombination activity and de novo mutation rates in human sperm. Cell, 150(2), 402-412.",,https://www.cell.com/fulltext/S0092-8674(12)00789-1
2012016,2012,human,primates,human,Homo sapiens,Afrikaner(Schizophrenia),2012016_1,sexual,snp,bp/generation,1.73e-8,1.41e-8,2.12e-8,,,,93,,PO,146,,Illumina,,,exome ,"Xu, B., Ionita-Laza, I., Roos, J. L., Boone, B., Woodrick, S., Sun, Y., ... & Karayiorgou, M. (2012). De novo gene mutations highlight patterns of genetic and neural complexity in schizophrenia. Nature genetics, 44(12), 1365-1369.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3556813/
2012016,2012,human,primates,human,Homo sapiens,Afrikaner(Schizophrenia),2012016_1,sexual,indel,bp/generation,1.67e-9,8.81e-10,3.18e-9,,,,9,,PO,146,,Illumina,,,exome ,"Xu, B., Ionita-Laza, I., Roos, J. L., Boone, B., Woodrick, S., Sun, Y., ... & Karayiorgou, M. (2012). De novo gene mutations highlight patterns of genetic and neural complexity in schizophrenia. Nature genetics, 44(12), 1365-1369.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3556813/
2012016,2012,human,primates,human,Homo sapiens,Afrikaner(control),2012016_2,sexual,snp,bp/generation,1.28e-8,7.76e-9,2.11e-8,,,,16,,PO,34,,Illumina,,,exome ,"Xu, B., Ionita-Laza, I., Roos, J. L., Boone, B., Woodrick, S., Sun, Y., ... & Karayiorgou, M. (2012). De novo gene mutations highlight patterns of genetic and neural complexity in schizophrenia. Nature genetics, 44(12), 1365-1369.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3556813/
2012016,2012,human,primates,human,Homo sapiens,Afrikaner(control),2012016_2,sexual,indel,bp/generation,8.53e-10,4.37e-11,4.83e-9,,,,1,,PO,34,,Illumina,,,exome ,"Xu, B., Ionita-Laza, I., Roos, J. L., Boone, B., Woodrick, S., Sun, Y., ... & Karayiorgou, M. (2012). De novo gene mutations highlight patterns of genetic and neural complexity in schizophrenia. Nature genetics, 44(12), 1365-1369.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3556813/
2012016,2012,human,primates,human,Homo sapiens,US(Schizophrenia),2012016_3,sexual,snp,bp/generation,1.73e-8,1.32e-8,2.26e-8,,,,53,,PO,85,,Illumina,,,exome ,"Xu, B., Ionita-Laza, I., Roos, J. L., Boone, B., Woodrick, S., Sun, Y., ... & Karayiorgou, M. (2012). De novo gene mutations highlight patterns of genetic and neural complexity in schizophrenia. Nature genetics, 44(12), 1365-1369.",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3556813/
